Sector_ID,Case_count_2007,Case_count_2008,Case_count_2009,Case_count_2010,Case_count_2011,Case_count_2012,Case_count_2013,Case_count_2014,Case_count_2015,Case_count_2016,Case_count_2017,Case_count_2018,Case_count_2019,Case_count_2020
CO433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO2,0,0,0,2,0,0,1,0,0,0,0,0,0,10
CO3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CO4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CO5,0,0,8,0,0,1,1,2,0,3,0,0,37,0
CO6,0,0,0,0,4,0,4,5,1,6,0,0,4,12
CO7,0,0,0,0,0,0,0,0,0,0,0,0,6,4
CO8,0,2,0,0,0,0,8,0,8,0,0,0,0,0
CO9,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CO10,2,0,0,0,0,0,51,1,26,13,0,0,89,10
CO11,0,0,0,0,0,0,8,2,6,0,0,0,4,58
CO12,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CO13,0,0,0,0,0,0,0,3,0,0,0,20,5,70
CO14,4,0,0,0,0,0,14,3,9,6,0,22,8,12
CO15,0,0,0,0,0,0,3,5,5,0,1,0,8,0
CO16,2,0,34,4,0,4,22,2,41,7,0,0,4,19
CO17,0,0,0,1,0,0,0,0,1,0,0,2,4,0
CO18,0,0,0,0,0,0,0,0,0,0,0,6,2,2
CO19,0,0,3,4,0,0,2,16,6,4,0,0,6,0
CO20,0,0,0,2,2,0,3,0,0,0,0,2,4,9
CO21,0,0,0,2,0,0,0,6,7,0,0,0,0,3
CO22,2,1,0,0,2,0,14,11,2,2,0,0,3,6
CO23,0,0,2,0,0,0,5,2,3,3,0,0,3,0
CO24,0,0,0,0,0,0,1,6,0,0,0,0,0,2
CO25,0,0,0,0,0,0,5,2,2,5,0,0,4,2
CO26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO27,2,0,0,0,0,0,4,0,0,0,0,0,0,0
CO28,6,2,20,4,18,17,105,48,21,66,9,3,67,113
CO29,0,0,0,0,0,0,4,19,0,6,0,0,2,20
CO30,0,0,0,0,0,0,2,8,0,15,0,0,0,6
CO31,0,1,0,9,0,1,3,14,2,4,0,8,30,15
CO33,0,5,0,0,6,4,15,0,7,7,0,1,5,31
CO34,0,1,2,0,0,4,5,5,3,9,0,2,4,23
CO35,6,0,3,1,4,0,1,0,1,10,0,0,16,8
CO36,0,2,0,0,0,0,0,0,0,3,1,0,0,0
CO37,0,0,0,0,0,0,0,0,0,10,0,0,3,0
CO38,0,0,0,0,0,0,0,0,2,0,0,0,2,8
CO39,0,0,0,0,0,0,0,0,2,7,0,0,12,7
CO40,0,0,0,0,0,0,0,0,3,2,0,0,0,12
CO41,0,2,0,0,0,0,1,1,3,0,0,0,17,56
CO42,2,0,0,0,0,0,9,7,3,4,0,6,0,34
CO43,0,0,0,0,0,0,4,0,12,0,0,0,8,52
CO44,0,0,0,0,0,0,0,0,0,2,0,0,2,6
CO45,0,0,1,2,0,0,3,0,1,0,0,0,0,12
CO46,0,0,0,6,0,1,5,10,2,15,8,0,5,33
CO47,2,0,0,0,0,0,1,0,0,2,0,3,0,4
CO48,0,0,0,0,0,3,18,1,2,5,0,0,0,3
CO49,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CO50,0,0,0,0,0,0,0,0,4,17,0,0,5,2
CO51,0,0,0,0,0,1,4,0,0,2,0,4,8,8
CO52,1,0,0,0,0,1,9,1,4,1,0,0,5,6
CO53,0,0,0,0,0,0,15,2,0,2,0,0,1,38
CO54,0,0,2,0,0,3,2,1,0,0,0,0,3,9
CO55,0,0,0,0,0,0,1,0,0,0,0,0,0,2
CO56,0,0,0,2,0,0,4,0,1,6,0,0,3,16
CO57,2,2,0,0,8,0,1,5,4,2,0,0,7,8
CO58,0,0,0,0,0,0,7,18,7,9,5,1,2,2
CO59,0,0,0,0,0,0,1,6,0,0,0,0,0,0
CO60,0,0,0,0,0,0,0,3,0,0,0,4,0,0
CO61,0,0,0,0,0,0,5,0,2,0,1,0,0,0
CO62,8,0,0,0,0,0,2,1,0,0,0,0,0,4
CO63,0,0,6,1,0,2,1,1,2,2,5,3,14,16
CO64,0,0,0,0,0,2,0,0,2,0,0,0,0,6
CO65,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CO66,2,2,0,0,2,0,1,3,2,2,0,0,14,0
CO67,0,0,0,0,0,0,3,0,12,0,0,0,11,4
CO68,0,0,0,0,0,0,7,0,2,1,0,0,5,0
CO69,0,2,0,0,0,0,5,1,9,0,0,0,202,3
CO70,0,0,0,0,0,0,0,0,5,0,0,0,0,23
CO71,0,0,0,0,0,0,0,1,4,0,0,0,3,0
CO72,0,0,0,0,0,0,1,1,9,0,0,0,3,0
CO73,2,0,0,0,0,0,0,4,0,7,3,0,3,20
CO74,0,0,0,0,0,0,11,5,4,17,0,0,18,13
CO75,0,0,2,0,0,0,13,0,0,0,0,2,6,4
CO76,0,4,0,0,0,1,1,2,0,0,0,0,20,6
CO77,2,2,0,6,4,0,15,11,1,6,0,0,22,6
CO78,2,0,0,0,4,0,6,10,3,18,0,6,26,14
CO79,0,4,0,0,2,4,6,8,4,2,0,0,2,14
CO80,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CO81,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CO82,0,0,0,0,0,0,1,0,0,0,0,0,3,2
CO83,2,0,0,0,0,0,0,1,0,32,0,0,16,10
CO84,0,0,0,0,0,0,5,2,4,0,0,0,18,15
CO85,0,1,0,0,4,0,9,5,9,0,0,0,24,12
CO86,0,0,0,0,2,0,2,8,2,0,0,0,2,12
CO87,0,0,0,2,0,2,0,2,0,0,0,0,12,2
CO88,0,0,0,0,0,0,2,0,0,0,0,0,8,2
CO89,0,0,0,0,0,0,1,4,2,0,4,0,2,7
CO90,0,0,0,2,0,0,10,3,6,0,2,0,4,28
CO91,1,0,0,0,0,0,1,2,0,0,0,0,0,0
